0	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.85	0.9
-15	-0.5882362205	-0.6066824147	-0.5882362205	-0.5882362205	-0.4596272966	-0.5147454068	-0.6617270341	-0.8362677165	-1.2398183139
-14	-0.5602729659	-0.5785721785	-0.5602729659	-0.5510498688	-0.4316272966	-0.4775590551	-0.6061312336	-0.7990813648	-1.1932862451
-13	-0.5230498688	-0.5597952756	-0.5230498688	-0.5138267717	-0.3944041995	-0.4403727034	-0.5689448819	-0.7434488189	-1.1467910189
-12	-0.4766771654	-0.5225721785	-0.4766771654	-0.4674540682	-0.3755905512	-0.4215223097	-0.5317585302	-0.7062992126	-1.0726639228
-11	-0.4486404199	-0.4761627297	-0.4486404199	-0.4578267717	-0.3475538058	-0.3842992126	-0.485312336	-0.6507401575	-1.0077106075
-10	-0.438976378	-0.4573490814	-0.4205669291	-0.4390131234	-0.3287401575	-0.3654488189	-0.4573490814	-0.6043307087	-0.9612153812
-9	-0.4477217848	-0.4660577428	-0.4109396325	-0.4201627297	-0.3098897638	-0.3374855643	-0.4201627297	-0.5395853018	-0.8962620659
-8	-0.4564304462	-0.4839895013	-0.4196850394	-0.4105354331	-0.2910761155	-0.3186351706	-0.3829396325	-0.5023254593	-0.7945031
-7	-0.4284304462	-0.4927349081	-0.4192440945	-0.4100209974	-0.2814488189	-0.3181942257	-0.3549028871	-0.4468031496	-0.7295497847
-6	-0.3820209974	-0.4554750656	-0.4095800525	-0.4003569554	-0.2809711286	-0.299343832	-0.3360524934	-0.4095800525	-0.6553490037
-5	-0.2805301837	-0.3999160105	-0.3907296588	-0.3814698163	-0.2897165354	-0.2989028871	-0.3264251969	-0.3815433071	-0.5719744418
-4	-0.2525301837	-0.3352073491	-0.3351338583	-0.3627296588	-0.3076115486	-0.3076115486	-0.3167611549	-0.3535065617	-0.4794997842
-3	-0.1418530184	-0.2244566929	-0.2795748032	-0.3346929134	-0.2979475066	-0.31632021	-0.31632021	-0.3254698163	-0.4330045579
-2	0.0147926509	-0.0310656168	-0.1688976378	-0.2331653543	-0.28832021	-0.3066929134	-0.3158792651	-0.3066929134	-0.3404193728
-1	0.134656168	0.1255433071	0.1255433071	0.0704251969	-0.0673700787	-0.1592335958	-0.2419475066	-0.278656168	-0.2662922768
0	0.2453333333	0.2546299213	0.2545931759	0.263816273	0.2545931759	0.2086614173	0.0249343832	-0.1036377953	-0.1644227834
1	0.3376745407	0.3469343832	0.3652703412	0.4020524934	0.3927926509	0.4295748032	0.3928661417	0.2642204724	0.0478268192
2	0.4300524934	0.4300892388	0.4484251969	0.4943569554	0.5219160105	0.567847769	0.5678845144	0.5219160105	0.4443257297
3	0.5039475066	0.5132073491	0.5407296588	0.5683254593	0.6142204724	0.6601889764	0.6877112861	0.6877480315	0.7027021337
4	0.5779160105	0.5963622047	0.6238845144	0.6514435696	0.6973753281	0.743343832	0.7800524934	0.807648294	0.850440531
5	0.633511811	0.6518845144	0.6794435696	0.7254120735	0.771343832	0.8080524934	0.8723937008	0.9091023622	0.9614838051
6	0.6891076115	0.7166666667	0.7350393701	0.7809711286	0.8269028871	0.8820209974	0.9279527559	0.9922572178	1.0632796135
7	0.7354435696	0.7630761155	0.7906351706	0.8365669291	0.8916850394	0.9376167979	1.0018845144	1.0845984252	1.1558279561
8	0.7635170604	0.8002992126	0.837007874	0.8737532808	0.9288713911	0.9840262467	1.057480315	1.1677165354	1.257660607
9	0.8006299213	0.8282992126	0.8650446194	0.9017900262	0.9568713911	1.0303989501	1.1130761155	1.241648294	1.3502457921
10	0.8195170604	0.8654855643	0.8930446194	0.9481627297	0.9940577428	1.0676220472	1.1594488189	1.3064304462	1.4151254224
11	0.966976378	0.8935223097	0.9302677165	0.9761627297	1.0312808399	1.104808399	1.2058215223	1.3528031496	1.4800787377
12	1.0960629921	0.9307454068	0.9490813648	1.0041994751	1.0501312336	1.132808399	1.2430446194	1.4084356955	1.5450688955
13	1.1516220472	1.1701049869	1.00464042	1.0414225722	1.0689448819	1.1608451444	1.2802677165	1.454808399	1.6099853683
14	1.2347034121	1.2531496063	1.2715223097	1.1796587927	1.1429868766	1.1796955381	1.3082677165	1.482808399	1.6656175328
15	1.3454173228	1.3913858268	1.3822362205	1.3546771654	1.3087086614	1.2076955381	1.3362677165	1.5199947507	1.7029758208
16	1.4193490814	1.474503937	1.4286089239	1.4286456693	1.1346456693	1.2265091864	1.3734908137	1.5572178478	1.7587185128
17	1.4382362205	1.3831548556	1.4474225722	1.4382362205	1.1626824147	1.2453228347	1.3923044619	1.5852178478	1.8236349856
18	1.4019317585	1.2641732284	1.3192913386	1.3835958005	1.1907191601	1.2641732284	1.4203412074	1.6040682415	1.8517458079
19	1.2737637795	1.0533648294	1.0992598425	1.126855643	1.2095328084	1.2829868766	1.4391548556	1.6228818898	1.8890304109
20	1.0262099738	1.0538057743	1.1089238845	1.154855643	1.219160105	1.3110236221	1.4580419948	1.6325459318	1.9263886988
